station_code,provider_id,municipality,name_en,name_it,name_de,standard_name,netex_type,netex_vehicletypes,netex_layout,netex_hazard_prohibited,netex_charging,netex_surveillance,netex_reservation,lat,lon
Salurn-Banhof_A005_04_STD,debbadcb-252d-4fc1-a7d4-4bb34cba5da8,Salorno,Parking Salurn train station (A005_04_STD),Parking Salurn train station (A005_04_STD),Parking Salurn train station (A005_04_STD),Parkplatz Salurn Bahnhof (A005_04_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.2459784652761,11.2035783419516
Bruneck-Mobilitaetszentrum_A003_01_LKW,0730d5f6-3645-432c-b29e-7c3679023838,Brunico,Parking Bruneck Mobility Center (A003_01_LKW),Parcheggio Brunico Centro Mobilità (A003_01_LKW),Parking Bruneck Mobility Center (A003_01_LKW),Parkplatz Bruneck Mobilitaetszentrum (A003_01_LKW),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A011_04_STD,58c2b8d7-14ff-4361-b988-3052bd5f3b08,Brunico,Parking Bruneck Mobility Center (A011_04_STD),Parcheggio Brunico Centro Mobilità (A011_04_STD),Parking Bruneck Mobility Center (A011_04_STD),Parkplatz Bruneck Mobilitaetszentrum (A011_04_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A012_06_STD,59ea7301-30b1-46f0-86c5-9994d0d4198f,Brunico,Parking Bruneck Mobility Center (A012_06_STD),Parcheggio Brunico Centro Mobilità (A012_06_STD),Parking Bruneck Mobility Center (A012_06_STD),Parkplatz Bruneck Mobilitaetszentrum (A012_06_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A017_04_STD,5a9f43eb-409c-4cdd-a2f8-1064d611116b,Brunico,Parking Bruneck Mobility Center (A017_04_STD),Parcheggio Brunico Centro Mobilità (A017_04_STD),Parking Bruneck Mobility Center (A017_04_STD),Parkplatz Bruneck Mobilitaetszentrum (A017_04_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A021_01_LKW,29c19478-d8fd-424b-8a72-347ead6d2127,Brunico,Parking Bruneck Mobility Center (A021_01_LKW),Parcheggio Brunico Centro Mobilità (A021_01_LKW),Parking Bruneck Mobility Center (A021_01_LKW),Parkplatz Bruneck Mobilitaetszentrum (A021_01_LKW),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A015_06_STD,c27e93e8-4f1c-464a-8995-65e1919626d6,Brunico,Parking Bruneck Mobility Center (A015_06_STD),Parcheggio Brunico Centro Mobilità (A015_06_STD),Parking Bruneck Mobility Center (A015_06_STD),Parkplatz Bruneck Mobilitaetszentrum (A015_06_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A006_06_DIS,1fabe9ee-985d-4c33-89c4-b3e665045891,Brunico,Parking Bruneck Mobility Center (A006_06_DIS),Parcheggio Brunico Centro Mobilità (A006_06_DIS),Parking Bruneck Mobility Center (A006_06_DIS),Parkplatz Bruneck Mobilitaetszentrum (A006_06_DIS),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A007_04_STD,4c634f49-4630-49bb-b49c-9c42583850c1,Brunico,Parking Bruneck Mobility Center (A007_04_STD),Parcheggio Brunico Centro Mobilità (A007_04_STD),Parking Bruneck Mobility Center (A007_04_STD),Parkplatz Bruneck Mobilitaetszentrum (A007_04_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A019_04_DIS,bdb67957-e50b-45f5-9da0-eaeecd79531f,Brunico,Parking Bruneck Mobility Center (A019_04_DIS),Parcheggio Brunico Centro Mobilità (A019_04_DIS),Parking Bruneck Mobility Center (A019_04_DIS),Parkplatz Bruneck Mobilitaetszentrum (A019_04_DIS),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
