Targa2,0,1,2,3,4,5,6,E
BP,0.00995475113122172,0.0135746606334842,0.257918552036199,0.541176470588235,0.17737556561086,0,0,0
BR,0.00759013282732448,0.0189753320683112,0.225806451612903,0.654648956356736,0.0910815939278937,0,0,0.00189753320683112
BS,0.0112903225806452,0.0043010752688172,0.134408602150538,0.693548387096774,0.156451612903226,0,0,0
BT,0.00242130750605327,0.0217917675544794,0.154963680387409,0.731234866828087,0.0895883777239709,0,0,0
BV,0.00436046511627907,0.00581395348837209,0.0970203488372093,0.721293604651163,0.170421511627907,0.000726744186046512,0,0.000363372093023256
BW,0.00578452639190166,0.00361532899493854,0.079175704989154,0.735357917570499,0.173897324656544,0.00216919739696312,0,0
BX,0.00862068965517241,0.00790229885057471,0.0732758620689655,0.732040229885057,0.17816091954023,0,0,0
BY,0.00625,0.0015625,0.0609375,0.828125,0.1015625,0.0015625,0,0
BZ,0.00745403346032798,0.00530064601623323,0.0452211363259897,0.68659930429021,0.255424879907239,0,0,0
CA,0.00843170320404722,0.0101180438448567,0.0168634064080944,0.829679595278246,0.134907251264755,0,0,0
CB,0.00370981038746909,0.00370981038746909,0.0292662819455894,0.774525968672712,0.188375927452597,0,0,0.000412201154163232
CC,0.00199600798403194,0.00199600798403194,0.0219560878243513,0.822355289421158,0.151696606786427,0,0,0
CD,0.00340136054421769,0.00127551020408163,0.0208333333333333,0.772108843537415,0.201955782312925,0,0,0.000425170068027211
CE,0.00424787606196902,0.00399800099950025,0.0264867566216892,0.736631684157921,0.228635682158921,0,0,0
CF,0.0119363395225464,0.00928381962864721,0.0238726790450928,0.76657824933687,0.187002652519894,0.0013262599469496,0,0
CG,0.00677506775067751,0,0.0176151761517615,0.779132791327913,0.191056910569106,0.002710027100271,0,0.002710027100271
CH,0.00641241984475194,0.00269996625042187,0.0296996287546406,0.650691866351671,0.310496118798515,0,0,0
CJ,0.00422751729438893,0.00422751729438893,0.0130668716372022,0.739046887009992,0.239431206764028,0,0,0
CK,0.00363636363636364,0.00181818181818182,0.0118181818181818,0.724545454545454,0.256363636363636,0,0.00181818181818182,0
CL,0.00485255692422546,0.00373273609555804,0.0104516610675625,0.685703620754013,0.294886151549085,0,0,0.000373273609555804
CM,0.0039424065821049,0.00257113472745972,0.0118272197463147,0.605073705862187,0.376585533081933,0,0,0
CN,0.00774860094705123,0.00516573396470082,0.0241067585019372,0.599225139905295,0.363753766681016,0,0,0
CP,0.000833333333333333,0.000833333333333333,0.01,0.678333333333333,0.31,0,0,0
CR,0.00706090026478376,0.00176522506619594,0.0150044130626655,0.597528684907326,0.378640776699029,0,0,0
CS,0.00296875,0.00203125,0.00890625,0.4425,0.54359375,0,0,0
CT,0.00180505415162455,0.00232078390923156,0.00644662197008767,0.403300670448685,0.585611139762764,0.000515729757607014,0,0
