id,station_type,parent_id,carpark_id,name,municipality,name_en,name_it,name_de,standard_name,netex_type,netex_vehicletypes,netex_layout,netex_hazard_prohibited,netex_charging,netex_surveillance,netex_reservation,lat,lon
0607861,ParkingFacility,,,Parcheggio Schöneben,Curon Venosta - Graun im Vinschgau,Parking Schöneben,Parcheggio Schöneben,Parkplatz Schöneben,Parcheggio Schöneben,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.8226778341635,10.5095065399487
0607861_0,ParkingStation,0607861,0,Parcheggio Schöneben,Curon Venosta - Graun im Vinschgau,Parking Schöneben,Parcheggio Schöneben,Parkplatz Schöneben,Parcheggio Schöneben,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.8226778341635,10.5095065399487
0608034,ParkingFacility,,,Parcheggio Funivia Montecavallo,Vipiteno - Sterzing,Parking Seilbahn Rosskopf,Parcheggio Funivia Montecavallo,Parkplatz Seilbahn Rosskopf,Parcheggio Funivia Montecavallo,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.9054617600371,11.4299724132561
0608034_0,ParkingStation,0608034,0,Parcheggio Funivia Montecavallo,Vipiteno - Sterzing,Parking Seilbahn Rosskopf,Parcheggio Funivia Montecavallo,Parkplatz Seilbahn Rosskopf,Parcheggio Funivia Montecavallo,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.9054617600371,11.4299724132561
0608224,ParkingFacility,,,Parcheggio Casa riposo S.Josef Merano,Merano - Meran,Parking Pflegeheim S.Josef Meran,Parcheggio Casa riposo S.Josef Merano,Parkplatz Pflegeheim S.Josef Meran,Parcheggio Casa riposo S.Josef Merano,urbanParking,allPassengerVehicles,underground,true,false,false,noReservations,46.6676144039872,11.1640178825061
0608224_0,ParkingStation,0608224,0,Parcheggio Casa riposo S.Josef Merano,Merano - Meran,Parking Pflegeheim S.Josef Meran,Parcheggio Casa riposo S.Josef Merano,Parkplatz Pflegeheim S.Josef Meran,Parcheggio Casa riposo S.Josef Merano,urbanParking,allPassengerVehicles,underground,true,false,false,noReservations,46.6676144039872,11.1640178825061
0608448,ParkingFacility,,,Parcheggio Hotel Berger Post Gries,Bolzano - Bozen,Parking Hotel Berger Post Gries,Parcheggio Hotel Berger Post Gries,Parkplatz Hotel Berger Post Gries,Parcheggio Hotel Berger Post Gries,urbanParking,allPassengerVehicles,underground,true,false,true,noReservations,46.5030418184004,11.3335372597038
0608448_0,ParkingStation,0608448,0,Parcheggio Hotel Berger Post Gries,Bolzano - Bozen,Parking Hotel Berger Post Gries,Parcheggio Hotel Berger Post Gries,Parkplatz Hotel Berger Post Gries,Parcheggio Hotel Berger Post Gries,urbanParking,allPassengerVehicles,underground,true,false,true,noReservations,46.5030418184004,11.3335372597038
0608935,ParkingFacility,,,Parcheggio Falzeben - Merano 2000,Avelengo - Hafling,Parking Falzeben - Merano 2000,Parcheggio Falzeben - Merano 2000,Parkplatz Falzeben - Merano 2000,Parcheggio Falzeben - Merano 2000,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.6646229948925,11.2396944754261
0608935_0,ParkingStation,0608935,0,Parcheggio Falzeben - Merano 2000,Avelengo - Hafling,Parking Falzeben - Merano 2000,Parcheggio Falzeben - Merano 2000,Parkplatz Falzeben - Merano 2000,Parcheggio Falzeben - Merano 2000,parkingZone,allPassengerVehicles,openSpace,true,false,false,noReservations,46.6646229948925,11.2396944754261
